arton (numeral)	arton	numeral		<ul><li>eighteen, 18</li></ul>			[sound:arton.mp3]	
brunch (noun)	brunch	noun	en	<ul><li>brunch, meal serving both as breakfast and lunch</li></ul>			[sound:brunch.mp3]	
decimeter (noun)	decimeter	noun	en	<ul><li>decimetre, (decimeter [us]), one tenth of a metre</li></ul>			[sound:decimeter.mp3]	
fem (numeral)	fem	numeral		<ul><li>five, 5</li></ul>			[sound:fem.mp3]	
femton (numeral)	femton	numeral		<ul><li>fifteen</li></ul>			[sound:femton.mp3]	
fjorton (numeral)	fjorton	numeral		<ul><li>fourteen</li></ul>			[sound:fjorton.mp3]	
fyrtio (numeral)	fyrtio	numeral		<ul><li>forty</li></ul>			[sound:fyrtio.mp3]	
hela (noun)	hela	noun	en	<ul><li>whole bottle, large bottle</li></ul>			[sound:hela.mp3]	
hörsel (noun)	hörsel	noun		<ul><li>hearing, the ability to hear</li></ul>	hon har nedsatt hörsel	she is hard of hearing	[sound:hörsel.mp3]	
kvällsmål (noun)	kvällsmål	noun	ett	<ul><li>evening meal, supper, night tea, evening snack</li></ul>				
känsel (noun)	känsel	noun		<ul><li>feeling</li></ul>			[sound:känsel.mp3]	
mellanmål (noun)	mellanmål	noun	ett	<ul><li>snack</li></ul>			[sound:mellanmål.mp3]	
miljard (noun)	miljard	noun	en	<ul><li>(billion [us]), milliard</li></ul>			[sound:miljard.mp3]	
milligram (noun)	milligram	noun	ett	<ul><li>mg</li></ul>				
millimeter (noun)	millimeter	noun	en	<ul><li>millimetre</li></ul>			[sound:millimeter.mp3]	
månadsskifte (noun)	månadsskifte	noun	ett	<ul><li>end of the month</li></ul>				
nio (numeral)	nio	numeral		<ul><li>nine</li></ul>			[sound:nio.mp3]	
nittio (numeral)	nittio	numeral		<ul><li>ninety</li></ul>			[sound:nittio.mp3]	
pingst (noun)	pingst	noun		<ul><li>whitsun</li></ul>			[sound:pingst.mp3]	
sex (numeral)	sex	numeral		<ul><li>six</li></ul>			[sound:sex.mp3]	
sex (noun)	sex	noun		<ul><li>sex (informal)</li></ul>	våld och sex i TV	sex and violence on TV	[sound:sex.mp3]	
sextio (numeral)	sextio	numeral		<ul><li>sixty</li></ul>			[sound:sextio.mp3]	
sexton (numeral)	sexton	numeral		<ul><li>sixteen</li></ul>			[sound:sexton.mp3]	
sju (numeral)	sju	numeral		<ul><li>seven</li></ul>			[sound:sju.mp3]	
sjuttio (numeral)	sjuttio	numeral		<ul><li>seventy</li></ul>			[sound:sjuttio.mp3]	
storasyster (noun)	storasyster	noun	en	<ul><li>big (older) sister</li></ul>			[sound:storasyster.mp3]	
storbritannien (name)	storbritannien	name		<ul><li>great britain</li></ul>				
syd (noun)	syd	noun		<ul><li>south</li></ul>			[sound:syd.mp3]	
sydväst (noun)	sydväst	noun		<ul><li>sou&#39;wester, southwester, broad-brimmed headgear of rainproof material</li></ul>			[sound:sydväst.mp3]	
sydöst (noun)	sydöst	noun		<ul><li>southeast</li></ul>				
syssling (noun)	syssling	noun	en	<ul><li>second cousin</li></ul>			[sound:syssling.mp3]	
tio (numeral)	tio	numeral		<ul><li>ten</li></ul>			[sound:tio.mp3]	
tjugo (numeral)	tjugo	numeral		<ul><li>twenty</li></ul>			[sound:tjugo.mp3]	
tolv (numeral)	tolv	numeral		<ul><li>twelve</li></ul>			[sound:tolv.mp3]	
trettio (numeral)	trettio	numeral		<ul><li>thirty</li></ul>			[sound:trettio.mp3]	
tretton (numeral)	tretton	numeral		<ul><li>thirteen</li></ul>			[sound:tretton.mp3]	
utbildningsminister (noun)	utbildningsminister	noun	en	<ul><li>education - minister, minister of education</li></ul>				
åttio (numeral)	åttio	numeral		<ul><li>eighty</li></ul>			[sound:åttio.mp3]	
änkling (noun)	änkling	noun	en	<ul><li>widower</li></ul>			[sound:änkling.mp3]	
