andra (numeral)	andra	numeral		<ul><li>second</li></ul>			Kapitel_4 Rivstart_A1_A2
bakre (adjective)	bakre	adjective		<ul><li>back, behind, further back or behind</li></ul>			Kapitel_3 Rivstart_A1_A2
elva (numeral)	elva	numeral		<ul><li>eleven</li></ul>			Kapitel_9 Rivstart_A1_A2
europa (name)	europa	name		<ul><li>europe</li></ul>			Kaptiel_10 Rivstart_A1_A2
femte (numeral)	femte	numeral		<ul><li>fifth</li></ul>			Kapitel_8 Rivstart_A1_A2
femtio (numeral)	femtio	numeral		<ul><li>fifty</li></ul>			Kaptiel_7 Rivstart_A1_A2
fjärde (numeral)	fjärde	numeral		<ul><li>fourth</li></ul>			Kapitel_4 Rivstart_A1_A2
främre (adjective)	främre	adjective		<ul><li>front</li></ul>			Kapitel_3 Rivstart_A1_A2
fyra (numeral)	fyra	numeral		<ul><li>four</li></ul>			Kapitel_9 Rivstart_A1_A2
första (numeral)	första	numeral		<ul><li>first</li></ul>			Kapitel_4 Rivstart_A1_A2
göteborg (name)	göteborg	name		<ul><li>gothenburg</li></ul>			Kapitel_9 Rivstart_A1_A2
hekto (noun)	hekto	noun	ett	<ul><li>hectogram, a measure of weight (=100 grams)</li></ul>			Kapitel_4 Rivstart_A1_A2
hundra (numeral)	hundra	numeral		<ul><li>hundred, 100</li></ul>			Kapitel_6 Rivstart_A1_A2
italien (name)	italien	name		<ul><li>italy</li></ul>			Kapitel_1 Rivstart_A1_A2
kina (name)	kina	name		<ul><li>china</li></ul>			Kapitel_3 Rivstart_A1_A2
miljon (noun)	miljon	noun	en	<ul><li>million</li></ul>	under miljoner år	for millions of years	Kapitel_6 Rivstart_A1_A2
morbror (noun)	morbror	noun	en	<ul><li>[maternal] uncle</li></ul>			Kapitel_6 Rivstart_A1_A2
nia (noun)	nia	noun	en	<ul><li>nine</li></ul>			Kapitel_9 Rivstart_A1_A2
nitton (numeral)	nitton	numeral		<ul><li>nineteen</li></ul>			Kapitel_5 Rivstart_A1_A2
norge (name)	norge	name		<ul><li>norway</li></ul>			Kapitel_2 Rivstart_A1_A2
sexa (noun)	sexa	noun	en	<ul><li>sixth, six</li><li>light supper</li></ul>			Kapitel_9 Rivstart_A1_A2
sjua (noun)	sjua	noun	en	<ul><li>seventh, seven</li></ul>			Kapitel_9 Rivstart_A1_A2
sjunde (numeral)	sjunde	numeral		<ul><li>seventh</li></ul>			Kapitel_8 Rivstart_A1_A2
sjutton (numeral)	sjutton	numeral		<ul><li>seventeen</li></ul>			Kapitel_6 Rivstart_A1_A2
sjätte (numeral)	sjätte	numeral		<ul><li>sixth</li></ul>			Kapitel_8 Rivstart_A1_A2
tia (noun)	tia	noun	en	<ul><li>tenth, ten</li><li>10-kronor coin</li></ul>			Kapitel_9 Rivstart_A1_A2
tionde (numeral)	tionde	numeral		<ul><li>tenth, ordinal 10</li></ul>			Kapitel_8 Rivstart_A1_A2
tre (numeral)	tre	numeral		<ul><li>three</li></ul>			Kapitel_1 Rivstart_A1_A2
tredje (numeral)	tredje	numeral		<ul><li>third</li></ul>			Kapitel_4 Rivstart_A1_A2
tusen (numeral)	tusen	numeral		<ul><li>thousand</li></ul>			Kaptiel_7 Rivstart_A1_A2
två (numeral)	två	numeral		<ul><li>two</li></ul>			Kapitel_1 Rivstart_A1_A2
åtta (noun)	åtta	noun	en	<ul><li>eight</li></ul>			Kapitel_9 Rivstart_A1_A2
åtta (numeral)	åtta	numeral		<ul><li>eight</li></ul>			Kapitel_9 Rivstart_A1_A2
åttonde (numeral)	åttonde	numeral		<ul><li>eighth</li></ul>			Kapitel_8 Rivstart_A1_A2
och (conjunction)	och	conjunction		<ul><li>and</li></ul>	pojkar och flickor	boys and girls	Kapitel_1 Rivstart_A1_A2
vara (verb)	vara	verb	att	<ul><li>last, go on, continue</li><li>am/are/is</li></ul>	strejken varade (i) tio dagar	the strike lasted ten days	Kapitel_1 Rivstart_A1_A2
vara (noun)	vara	noun	en	<ul><li></li><li>goods, commodity</li></ul>	varor och tjänster	goods and services	Kapitel_1 Rivstart_A1_A2
i (preposition)	i	preposition		<ul><li>in; on (denotes location in space)</li><li>at, in, for</li><li>to (used when indicating the time of day)</li><li>for, at</li><li>as</li><li>of</li><li>in (used in phrases)</li></ul>	bo i Sverige	live in Sweden	Kapitel_1 Rivstart_A1_A2
ha (verb)	ha	verb	att	<ul><li>have</li><li>have, possess; be provided with</li></ul>	jag hade sett henne	I had seen her	Kapitel_1 Rivstart_A1_A2
det (prounoun)	det	prounoun		<ul><li>it</li><li>it, he, she</li><li>that</li></ul>	det regnar	it is raining	Kapitel_1 Rivstart_A1_A2
