andra, numeral	andra	<ul><li>second</li></ul>	hamna på andra plats	come (in) second	numeral		Sidan 42	Kapitel_4 Rivstart_A1_A2
bakre, adjective	bakre	<ul><li>back, behind</li><li>further back or behind</li></ul>			adjective		Sidan 27	Kapitel_3 Rivstart_A1_A2
elva, numeral	elva	<ul><li>eleven</li></ul>			numeral		Sidan 94	Kapitel_9 Rivstart_A1_A2
ett, numeral	ett	<ul><li>one</li></ul>			numeral		Sidan 10	Kapitel_1 Rivstart_A1_A2
femte, numeral	femte	<ul><li>fifth</li></ul>			numeral		Sidan 82	Kapitel_8 Rivstart_A1_A2
femtio, numeral	femtio	<ul><li>fifty</li></ul>			numeral		Sidan 67	Kaptiel_7 Rivstart_A1_A2
fjärde, numeral	fjärde	<ul><li>fourth</li></ul>			numeral		Sidan 42	Kapitel_4 Rivstart_A1_A2
främre, adjective	främre	<ul><li>front</li></ul>	den främre stötfångaren	the front bumper	adjective		Sidan 27	Kapitel_3 Rivstart_A1_A2
fyra, numeral	fyra	<ul><li>four</li></ul>			numeral		Sidan 94	Kapitel_9 Rivstart_A1_A2
första, numeral	första	<ul><li>first</li></ul>	första kvartalet	the first quarter	numeral		Sidan 42	Kapitel_4 Rivstart_A1_A2
hekto, noun	hekto	<ul><li>hectogram</li><li>a measure of weight (=100 grams)</li></ul>			noun	ett	Sidan 45	Kapitel_4 Rivstart_A1_A2
hundra, numeral	hundra	<ul><li>hundred</li><li>100</li></ul>			numeral		Sidan 64	Kapitel_6 Rivstart_A1_A2
miljon, noun	miljon	<ul><li>million</li></ul>	en miljon kronor	one million kronor	noun	en	Sidan 62	Kapitel_6 Rivstart_A1_A2
morbror, noun	morbror	<ul><li>[maternal] uncle</li></ul>			noun	en	Sidan 58	Kapitel_6 Rivstart_A1_A2
nia, noun	nia	<ul><li>nine</li></ul>			noun	en	Sidan 94	Kapitel_9 Rivstart_A1_A2
nionde, numeral	nionde	<ul><li>ninth</li></ul>			numeral		Sidan 82	Kapitel_8 Rivstart_A1_A2
nitton, numeral	nitton	<ul><li>nineteen</li></ul>			numeral		Sidan 55	Kapitel_5 Rivstart_A1_A2
sexa, noun	sexa	<ul><li>sixth, six</li><li>light supper</li></ul>			noun	en	Sidan 94	Kapitel_9 Rivstart_A1_A2
sjua, noun	sjua	<ul><li>seventh, seven</li></ul>			noun	en	Sidan 94	Kapitel_9 Rivstart_A1_A2
