andra	<ul><li>second</li></ul>	hamna på andra plats	come (in) second	nl	1000000,00	
arton	<ul><li>eighteen</li></ul>			nl	1000000,00	
bakre	<ul><li>back, behind</li></ul>			av	1000000,00	
brunch	<ul><li>brunch</li></ul>			nn	1000000,00	en
decimeter	<ul><li>decimetre, (decimeter [US])</li></ul>			nn	1000000,00	en
elva	<ul><li>eleven</li></ul>			nl	1000000,00	
ett	<ul><li>one</li></ul>			nl	1000000,00	
europa	<ul><li>europe</li></ul>			pm	1000000,00	
fem	<ul><li>five</li></ul>			nl	1000000,00	
femte	<ul><li>fifth</li></ul>			nl	1000000,00	
femtio	<ul><li>fifty</li></ul>			nl	1000000,00	
femton	<ul><li>fifteen</li></ul>			nl	1000000,00	
fjorton	<ul><li>fourteen</li></ul>			nl	1000000,00	
fjärde	<ul><li>fourth</li></ul>			nl	1000000,00	
främre	<ul><li>front</li></ul>	den främre stötfångaren	the front bumper	av	1000000,00	
fyra	<ul><li>four</li></ul>			nl	1000000,00	
fyrtio	<ul><li>forty</li></ul>			nl	1000000,00	
första	<ul><li>first</li></ul>	första kvartalet	the first quarter	nl	1000000,00	
hekto	<ul><li>hectogram</li></ul>			nn	1000000,00	ett
hela	<ul><li>whole bottle, large bottle</li><li>full, whole, entire, complete</li><li>whole, entire</li></ul>			nn	1000000,00	en
hundra	<ul><li>hundred</li></ul>			nl	1000000,00	
hörsel	<ul><li>hearing</li></ul>	hon har nedsatt hörsel	she is hard of hearing	nn	1000000,00	
kvällsmål	<ul><li>EVENING MEAL, supper, night tea, evening snack</li></ul>			nn	1000000,00	ett
känsel	<ul><li>feeling</li></ul>			nn	1000000,00	
mellanmål	<ul><li>snack</li></ul>			nn	1000000,00	ett
milligram	<ul><li>mg</li></ul>			nn	1000000,00	ett
millimeter	<ul><li>millimetre</li></ul>			nn	1000000,00	en
morbror	<ul><li>[maternal] uncle</li></ul>			nn	1000000,00	en
månadsskifte	<ul><li>end of the month</li></ul>			nn	1000000,00	ett
nia	<ul><li>nine</li></ul>			nn	1000000,00	en
nio	<ul><li>nine</li></ul>			nl	1000000,00	
nionde	<ul><li>ninth</li></ul>			nl	1000000,00	
nittio	<ul><li>ninety</li></ul>			nl	1000000,00	
nitton	<ul><li>nineteen</li></ul>			nl	1000000,00	
pingst	<ul><li>Whitsun</li></ul>			nn	1000000,00	
sex	<ul><li>six</li></ul>			nl	1000000,00	
sexa	<ul><li>sixth, six</li><li>light supper</li></ul>			nn	1000000,00	en
sextio	<ul><li>sixty</li></ul>			nl	1000000,00	
sexton	<ul><li>sixteen</li></ul>			nl	1000000,00	
sju	<ul><li>seven</li></ul>			nl	1000000,00	
sjua	<ul><li>seventh, seven</li></ul>			nn	1000000,00	en
sjunde	<ul><li>seventh</li></ul>			nl	1000000,00	
sjuttio	<ul><li>seventy</li></ul>			nl	1000000,00	
sjutton	<ul><li>seventeen</li></ul>			nl	1000000,00	
sjätte	<ul><li>sixth</li></ul>			nl	1000000,00	
storasyster	<ul><li>big (older) sister</li></ul>			nn	1000000,00	en
storbritannien	<ul><li>great britain</li></ul>			pm	1000000,00	
syd	<ul><li>south</li></ul>			nn	1000000,00	
sydväst	<ul><li>sou&#39;wester, southwester</li></ul>			nn	1000000,00	
syssling	<ul><li>second cousin</li></ul>			nn	1000000,00	en
tia	<ul><li>tenth, ten</li><li>10-kronor coin</li></ul>			nn	1000000,00	en
tio	<ul><li>ten</li></ul>			nl	1000000,00	
tionde	<ul><li>tenth</li></ul>			nl	1000000,00	
tjugo	<ul><li>twenty</li></ul>			nl	1000000,00	
tolv	<ul><li>twelve</li></ul>			nl	1000000,00	
tre	<ul><li>three</li></ul>			nl	1000000,00	
tredje	<ul><li>third</li></ul>			nl	1000000,00	
trettio	<ul><li>thirty</li></ul>			nl	1000000,00	
tretton	<ul><li>thirteen</li></ul>			nl	1000000,00	
tusen	<ul><li>thousand</li></ul>			nl	1000000,00	
två	<ul><li>two</li></ul>			nl	1000000,00	
utbildningsminister	<ul><li>Education - minister, Minister of education</li></ul>			nn	1000000,00	en
åtta	<ul><li>eight</li></ul>			nn	1000000,00	en
åttio	<ul><li>eighty</li></ul>			nl	1000000,00	
åttonde	<ul><li>eighth</li></ul>			nl	1000000,00	
änkling	<ul><li>widower</li></ul>			nn	1000000,00	en
ögonlock	<ul><li>eyelid</li></ul>			nn	1000000,00	ett
i	<ul><li>in; on (denotes location in space)</li><li>at, in, for</li><li>to (used when indicating the time of day)</li><li>for, at</li><li>as</li><li>of</li><li>in (used in phrases)</li></ul>	åka i bilen	take the car	pp	19272,89	
ha	<ul><li>have</li><li>have, possess; be provided with</li></ul>	hon har gjort det	she&#39;s done it	vb	15983,31	att
dess	<ul><li>it, he, she</li><li>that</li></ul>			pn	15935,58	
det	<ul><li>it</li><li>it, he, she</li><li>that</li></ul>	det var jag som gjorde det	it was I who did it	pn	14582,21	
en	<ul><li>one</li></ul>	det förargar en att höra sådant	it annoys one to hear that sort of thing	pn	14511,22	
som	<ul><li>who, whom</li></ul>	pojken som gick förbi är min bror	the boy who walked past is my brother	pn	12734,70	
på	<ul><li>on (expresses position)</li><li>in, during</li><li>of, at</li><li>after</li><li>in</li></ul>	på Gotland	on (the island of) Gotland	pp	12591,15	
å	<ul><li>on (archaic except in some phrases)</li></ul>			pp	12462,73	e.g. å ena sidanå andra sidan
av	<ul><li>by (indicates the origin of an object or event)</li><li>at (indicates origin in time and space)</li><li>of (of materials, substances)</li><li>of</li></ul>	av en slump	by chance	pp	11540,13	
för	<ul><li>to (denotes intention or purpose)</li><li>for (denotes reason)</li><li>of, for</li><li>of (denotes context)</li><li>by</li><li>for</li><li>for (in some phrases)</li></ul>	arbeta för fred	work for peace	pp	11408,82	
kunna	<ul><li>can, know</li><li>can</li><li>can (indicates possible outcome, guess, etc.)</li></ul>	jag kunde inte läxan	I hadn&#39;t done my homework	vb	11119,08	att
skola	<ul><li>train, teach</li><li>shall, will</li><li>have to, shall, must</li></ul>	han skolades om till snickare	he was retrained as a carpenter	vb	10411,19	(vanligast ska/skall, skulle)
jag	<ul><li>I (indicates the speaker or writer (first person))</li></ul>	vill du skicka mig smöret!	please pass the butter!	pn	9390,67	
med	<ul><li>with</li><li>for, about</li><li>with (in idiomatic expressions)</li></ul>	pannkakor med sylt	pancakes and jam	pp	8790,85	
till	<ul><li>into, until, to</li><li>of, for, as</li><li>of, to</li></ul>	översätta till svenska	translate into Swedish	pp	8662,68	
liten	<ul><li>small</li><li>short</li></ul>	ett litet antal	a small amount	av	8654,67	
den	<ul><li>it, he, she</li><li>that</li></ul>	Var är boken? -- Den är här	Where is the book? It is here	pn	6896,18	
analog	<ul><li>analogous (to)</li><li>analogue, (analog [US])</li></ul>	på analogt sätt	in similar fashion, in like manner	av	5649,00	
unna	<ul><li>wish (not begrudge)</li></ul>	jag unnar dig allt gott	I wish you all the best	vb	5559,15	att
om	<ul><li>round (spatial)</li><li>by (temporal)</li><li>about, of</li><li>of</li></ul>	en halsduk om halsen	a scarf round one&#39;s neck	pp	5278,24	
vi	<ul><li>we</li></ul>	han har sett oss	he has seen us	pn	4723,57	
men	<ul><li>but (indicates objection or restriction)</li></ul>	efter många om och men	after much beating about the bush	kn	4545,97	
man	<ul><li>one (indicates the indefinite)</li></ul>	om man så vill	if you like	pn	4446,34	
få	<ul><li>few</li><li>receive, get</li><li>may</li><li>have to</li></ul>	några få platser	a few seats	vb	4060,39	att
så	<ul><li>so, thus</li><li>so</li><li>so (mostly used colloquially)</li></ul>	så kan det gå!	that&#39;s how it can turn out!	ab	4004,97	
han	<ul><li>he (indicates a male individual)</li></ul>	jag såg honom igår	I saw him yesterday	pn	3380,88	
bli	<ul><li>become, get, be</li></ul>	bli lärare	become a teacher	vb	3293,35	att
komma	<ul><li>arrive, come</li><li>come (from)</li><li>will, be going to (only used in the phrase &quot;will&quot; &quot;(=shall)&quot;)</li><li>arouse, prompt</li></ul>	kommande år	coming years	vb	3224,74	att
sin	<ul><li>his, one&#39;s, her, its, theirs</li></ul>	hon skrev sitt namn	she wrote her name	pn	3217,30	
eller	<ul><li>or (indicates alternatives)</li></ul>	en mer eller mindre spelar ingen roll	one more or less doesn&#39;t matter	kn	3138,92	
från	<ul><li>from (refers to a starting point in time and space)</li><li>from (states origin or extraction)</li><li>from (separating)</li></ul>	från den nionde januari	from January 9th	pp	3117,46	
mycket	<ul><li>very much, greatly</li><li>much (non-neutral forms somewhat formal)</li></ul>	det finns mycket mer att säga	there is much more to say	ab	3112,13	
vilja	<ul><li>want (also downtoned in exhortations)</li></ul>	vill du skicka mig saltet?	would you pass me the salt, please?	vb	3004,91	att
all	<ul><li>all</li></ul>	allt brödet	all the bread	pn	2975,47	
göra	<ul><li>do</li><li>make</li><li>cause, make</li></ul>	vad gör du?	what are you doing?	vb	2942,04	att
