revy (noun)	Tillsammans gjorde Hans (Hasse) Alfredson och Tage Danielsson en hel rad radioprogram, revyer och filmer. 
ribba (noun)	Och i andra halvlek hade dom ett skott i ribban också. 
i anslutning till (ppm)	I anslutning till tidningens tema om politik presenterar Niklas en historisk politiker. 
ridning (noun)	Utöver själva ridningen har hästägaren eller hästskötaren en mängd uppgifter som ska utföras. 
absolut (adjective)	Det är oftast nio stavelser i de långa raderna och sex i de korta men kravet är inte absolut. 
rigid (adjective)	Alla p-vakter är dock inte så rigida. 
absorbera (verb)	Gaserna absorberar en del av värmen och hindrar den från att stråla ut i rymden igen. 
rikedom (noun)	Columbus ville ha guld, rikedom och ära. 
absurd (adjective)	Kärleken växte, men Farman kände allt starkare att smusslandet var ovärdigt och absurt. 
rikspolisstyrelse (noun)	Det regionala polisväsendet, som låg under länsstyrelsen fram till 1999, leds numera av Rikspolisstyrelsen i Stockholm. 
riksspråk (noun)	Det skrivna riksspråket finner vi i tidningar, brev och skönlitteratur. 
i fortsättningen (abm)	Prästen och barnens föräldrar skulle i fortsättningen hålla noga uppsikt över dem. 
rikstalspråk (noun)	Detta rikstalspråk bygger på språket i Stockholm och Mälardalen. 
riktning (noun)	Bara ett litet val och livet tar en helt annan riktning. 
i förgrunden (abm)	Runt Saturnus rör sig fem månar varav den största i förgrunden heter Titan. 
rim (noun)	Hiphopen är en magisk språkvärld där stavelser och rim har en väldig laddning. 
i första hand (abm)	Det handlar i första hand om nöjen, för ditt kärleksliv känns mest trassligt. 
rimma (verb)	I en mer traditionell dikt låter man sista orden på varje rad rimma. 
advent (noun)	Advent kommer av ett latinskt ord som betyder ankomst. 
i förstone (abm)	Det kan vara svårare än det i förstone verkar. 
adventskalender (noun)	I både radio och tv sänder man också adventskalendern varje dag. 
i förväg (abm)	Mormor Astrid planerade veckor och månader i förväg vad familjen skulle äta. 
i god tid (abm)	Jag skickade ut inbjudan i god tid. 
i gång (abm)	Så många krafter i gång för så få personer. 
i hamn (jjm)	Nu är Anna-Pia Karlsson i hamn. 
rinna bort (vbm)	På våren smälter hotellet sakta och rinner bort i Torne älv. 
affärsbrev (noun)	Han läste mycket helst romaner med ideell tendens och dryftade diktverken i affärsbreven. 
i hast (abm)	I hast fick vi tag i våra saker. 
risgrynsgröt (noun)	Till jul äter man julbord, ett smörgåsbord som är utökat med julkorv, sylta, lutfisk, skinka och risgrynsgröt. 
affärskollega (noun)	Det händer att utländska affärsmän blir förvirrade av sina svenska affärskolleger vid affärsmöten. 
affärskultur (noun)	Lite förenklat skulle man kunna visa på skillnaderna mellan svensk och traditionell internationell affärskultur så här: 
affärskvinna (noun)	Svenska affärsmän och affärskvinnor 
i högsta hugg (jjm)	Med ett skohorn i högsta hugg befallde hon fot fram. 
affärsliv (noun)	Och han kunde inte alls le så där inställsamt som affärslivet krävde. 
i jämförelse med (ppm)	Andra kända höga byggnader verkar små i jämförelse med Burj Khalifa. 
affärsmöte (noun)	I många kulturer är socialt småprat viktigt vid ett affärsmöte. 
i kapp (abm)	Hon gnistrar i kapp med de åtta kristallkronorna som pryder taket i caféet. 
risktagande (noun)	Kontrollerat risktagande, vara miljömedveten, kreativ och lugn. 
i korthet (abm)	Dispositionen av texten kan i korthet se ut så här. 
rista (verb)	där runor ristats för vår skull 
i kut (abm)	Och kyrkorådet smög sig med ryggen i kut 
ritning (noun)	När han utvecklade färggrafiken ville han kunna göra ritningar av kretskort i datorn. 
ritual (noun)	Påsken har inte lika många fasta ritualer och traditioner som julen och är inte heller en lika stor högtid. 
agentkontor (noun)	Agentkontoren ordnade hela resan: båtbiljett över Atlanten och tågbiljett fram till den plats i USA dit man ville komma. 
i likhet med (ppm)	Italien redovisar i likhet med Tyskland enbart utländska medborgare. 
