revolutionsblattefilosof (noun)	Han har genomskådat Integrationsplanen och vill bli Sveriges mäktigaste revolutionsblattefilosof. 
rida in (vbm)	När hon red in i Rom på en vit häst möttes hon av folkets jubel. 
i blodet (jjm)	Har man en gång fått det svenska viruset i blodet, blir det kvar där till livets slut. 
i blåsväder (jjm)	För inte så länge sedan var det en politiker i blåsväder som ansågs sig behöva ta time-out. 
i bruk (abm)	1 början av 2012 fanns 3,3 miljoner smarta telefoner i bruk i Sverige. 
abstraktionsnivå (noun)	Det handlar nästan enbart om berättelser och beskrivningar, och textens abstraktionsnivå är låg. 
i dagsläget (abm)	Gösta: Nej, men i dagsläget kan vi inte utesluta att marken kan vara förgiftad. 
acceptabel (adjective)	Däremot tycker folk inte att det är acceptabelt att bryta mot 30-kilometersgränser, säger Lars Åberg. 
riksbank (noun)	1968 instiftade den svenska riksbanken ett sjätte pris, Riksbankens pris i ekonomisk vetenskap, till Alfred Nobels minne. 
action (noun)	För övrigt är det på tok för många dåliga filmer på tv, bara action och våld. 
i det närmaste (abm)	Vår svenska var i det närmaste obefintlig. 
i det stora hela (abm)	Men i det stora hela träffades man och pratade tills det var klart. 
adekvat (adjective)	Men om du tänker efter så hamnar du ständigt i olika språkliga situationer där du behöver ett adekvat ordförråd. 
i detta fall (abm)	I detta fall är det dubbelt så många substantiv som verb. 
rikstelefonnät (noun)	188g var den första etappen av rikstelefonnätet klart, Stockholm-Göteborg. 
rikta (verb)	Lotta: Jag tycker åtminstone att reklam som riktar sig till barn borde förbjudas. 
adoption (noun)	Flera homosexuella par har gett upp tanken på adoption och väljer i stället surrogatmammor. 
adoptivförälder (noun)	Från och med år 2003 får homosexuella prövas som adoptivföräldrar. 
i förhållande till (ppm)	Något som inte ligger i rät vinkel i förhållande till verkligheten. 
rimligen (adverb)	Om så är fallet, hur skulle vi rimligen kunna meddela oss med varandra utan gester? 
rimligtvis (adverb)	Och jag ogillar det av det enkla skälet att det egna huvudet rimligtvis måste sortera under det egna ansvaret. 
adressbok (noun)	I den bär vi med oss t.ex. adressbok, ordbok och kalender. 
rimord (noun)	Vanligtvis börjar första raden med en introduktion, och det första rimordet är ofta ett personnamn eller ortsnamn (här Stöde). 
i gemen (abm)	Man säger att svenskar i gemen är duktiga på engelska. 
adverb (noun)	Som adverb uppträdde ordet först på 1600-talet. 
i grunden (abm)	I grunden handlar det om vilka som du har någon sorts relation till, gemensamma upplevelser med, i det förflutna. 
ringande (noun)	Både över tonåringarnas hejdlösa ringande mellan gängen innan de går till beslut om var de ska tillbringa kvällen. 
