elev	(-en, -er, -erna)	student		[sound:google-d349a479-6ef7c06c-5eb905d3-5d8a379d-bff32d87.mp3]	Kapitel_1 Rivstart_A1_A2
lärare	(-n, –, -lärarna)	teacher		[sound:google-a3dc24a9-2648a6c2-8a1c5918-effc8e02-a9fbce0c.mp3]	Kapitel_1 Rivstart_A1_A2
Ursäkta.		Excuse me.		[sound:google-1423603e-6f861026-08b1860f-4fbd1336-7f5f62fe.mp3]	Kapitel_1 Rivstart_A1_A2
Jag har en fråga.		I have a question.		[sound:google-43bef575-9f95368e-dc2aceb2-d323cf92-4148efd6.mp3]	Kapitel_1 Rivstart_A1_A2
Vad betyder det		What does that mean?		[sound:google-104204fe-1e425a52-6844cd5f-8f925155-5c18df6a.mp3]	Kapitel_1 Rivstart_A1_A2
Hur säger man … på svenska		How do you say … in Swedish?		[sound:google-4d959525-18657984-4dabbeea-869effac-58ccac40.mp3]	Kapitel_1 Rivstart_A1_A2
Vad heter … på svenska?		What is … called in Swedish?		[sound:google-a77e40a0-700dd2fa-aa33d3b9-12ae9a49-c29e7ca6.mp3]	Kapitel_1 Rivstart_A1_A2
Hur uttalar man …		How do you pronounce … ?		[sound:google-884f177d-319da59d-c414d76e-4322a4c3-19261253.mp3]	Kapitel_1 Rivstart_A1_A2
Hur stavar/skriver man …		How do you spell/write … ?		[sound:google-2a20c865-72fff3a8-6a4195a5-1bc38eb3-577f9d3f.mp3]	Kapitel_1 Rivstart_A1_A2
Kan du säga det en gång till		Could you repeat that?		[sound:google-7cecf99b-364cf5b6-8f4ab658-4f4d2f3e-6d0f2c6f.mp3]	Kapitel_1 Rivstart_A1_A2
Jag förstår inte.		"I don't understand."		[sound:google-62337790-b41e0919-205b0029-54140110-8e65053e.mp3]	Kapitel_1 Rivstart_A1_A2
Jaha! Nu förstår jag!		Ah! Now I understand!		[sound:google-083f8a7c-f5c35868-de8b0048-def54107-424dceab.mp3]	Kapitel_1 Rivstart_A1_A2
Förstår du/ni		Do you understand?		[sound:google-eb38ef9d-cdeec6ed-13b70927-fd0bbdeb-ecd749c7.mp3]	Kapitel_1 Rivstart_A1_A2
Har ni några frågor		Do you have any questions?		[sound:google-98955d1d-832e28d4-83dd5089-79856536-523e52b6.mp3]	Kapitel_1 Rivstart_A1_A2
Titta på sidan X i textboken/övningsboken.		Look at page X in the textbook/exercise book.		[sound:google-2094a2e0-70fdc4ff-cf01b5e3-bac25c9e-c26c7714.mp3]	Kapitel_1 Rivstart_A1_A2
Läs texten på sidan X.		Read the text on page X.		[sound:google-d5ca416f-5c96eb06-8f743fb5-3080c436-9e0c01bc.mp3]	Kapitel_1 Rivstart_A1_A2
Stäng boken.		Close the book.		[sound:google-839772f3-54e6cd62-04e19db0-d461cb2b-abb14b3e.mp3]	Kapitel_1 Rivstart_A1_A2
Lyssna.		Listen.		[sound:google-38832ab5-0badcc42-8c13d5b1-d5e0b2ea-8f676d69.mp3]	Kapitel_1 Rivstart_A1_A2
Säg efter mig.		Repeat after me.		[sound:google-a0efc0b9-bbd1f9d5-9674867b-149d119d-6a4879ff.mp3]	Kapitel_1 Rivstart_A1_A2
Skriv		Write!		[sound:google-71ad9e5c-e30e39d8-f5cfbf5a-6b106a7f-c39b8f31.mp3]	Kapitel_1 Rivstart_A1_A2
Arbeta i par.		Work in pairs.		[sound:google-6bf56765-146aac84-1bd7b4ac-cdabe0b3-fd612b14.mp3]	Kapitel_1 Rivstart_A1_A2
Prata svenska		Speak Swedish.		[sound:google-9d5a8968-295ef368-6a654bb4-a5cb4a96-9978304d.mp3]	Kapitel_1 Rivstart_A1_A2
rivstart	(-en,-er, -erna)	flying start	Sidan 07	[sound:google-31518e5e-2af57ff1-85ce3699-9b3451c1-ab1a83aa.mp3]	Kapitel_1 Rivstart_A1_A2
kapitel	(kapitlet, –, kapitlen)	chapter	Sidan 07	[sound:google-6e9bf89c-1628a3e1-9c9abe3c-d19c93e9-d583b122.mp3]	Kapitel_1 Rivstart_A1_A2
