elev	(-en, -er, -erna)	student		Kapitel 1	Kapitel1 RivstartA1A2
lärare	(-n, –, -lärarna)	teacher		Kapitel 1	Kapitel1 RivstartA1A2
Ursäkta.		Excuse me.		Kapitel 1	Kapitel1 RivstartA1A2
Jag har en fråga.		I have a question.		Kapitel 1	Kapitel1 RivstartA1A2
Vad betyder det		What does that mean?		Kapitel 1	Kapitel1 RivstartA1A2
Hur säger man … på svenska		How do you say … in Swedish?		Kapitel 1	Kapitel1 RivstartA1A2
Vad heter … på svenska?		What is … called in Swedish?		Kapitel 1	Kapitel1 RivstartA1A2
Hur uttalar man …		How do you pronounce … ?		Kapitel 1	Kapitel1 RivstartA1A2
Hur stavar/skriver man …		How do you spell/write … ?		Kapitel 1	Kapitel1 RivstartA1A2
Kan du säga det en gång till		Could you repeat that?		Kapitel 1	Kapitel1 RivstartA1A2
Jag förstår inte.		"I don't understand."		Kapitel 1	Kapitel1 RivstartA1A2
Jaha! Nu förstår jag!		Ah! Now I understand!		Kapitel 1	Kapitel1 RivstartA1A2
Förstår du/ni		Do you understand?		Kapitel 1	Kapitel1 RivstartA1A2
Har ni några frågor		Do you have any questions?		Kapitel1	Kapitel1 RivstartA1A2
Titta på sidan X i textboken/övningsboken.		Look at page X in the textbook/exercise book.		Kapitel1	Kapitel1 RivstartA1A2
Läs texten på sidan X.		Read the text on page X.		Kapitel 1	Kapitel1 RivstartA1A2
Stäng boken.		Close the book.		Kapitel 1	Kapitel1 RivstartA1A2
Lyssna.		Listen.		Kapitel 1	Kapitel1 RivstartA1A2
Säg efter mig.		Repeat after me.		Kapitel 1	Kapitel1 RivstartA1A2
Skriv		Write!		Kapitel 1	Kapitel1 RivstartA1A2
Arbeta i par.		Work in pairs.		Kapitel 1	Kapitel1 RivstartA1A2
Prata svenska		Speak Swedish.		Kapitel 1	Kapitel1 RivstartA1A2
rivstart	(-en,-er, -erna)	flying start	Sidan 07	Kapitel 1	Kapitel1 RivstartA1A2
kapitel	(kapitlet, –, kapitlen)	chapter	Sidan 07	Kapitel 1	Kapitel1 RivstartA1A2
sida	(-n, -or, -orna)	page	Sidan 07	Kapitel 1	Kapitel1 RivstartA1A2
Du kan svenska		You speak Swedish!	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
kunna	(kan, kunde, kunnat)	know; can	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
svenska		Swedish	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
kombinera	(-r, -de, -t)	combine	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
foto	(-t, -n, -na)	photo	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
och		and	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
ord	(-et, –, -en)	word	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
hamburgare	(-n, –, hamburgarna)	hamburger	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
advokat	(-en, -er, -erna)	lawyer	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
potatis	(-en, -ar, -arna)	potato	Sidan 08	Kapitel 1	Kapitel1 RivstartA1A2
