Jag har en fråga.	Kapitel_1	
Vad betyder det	Kapitel_1	
Hur säger man … på svenska	Kapitel_1	
Vad heter … på svenska?	Kapitel_1	
Hur uttalar man …	Kapitel_1	
Hur stavar/skriver man …	Kapitel_1	
Kan du säga det en gång till	Kapitel_1	
Jag förstår inte.	Kapitel_1	
Jaha! Nu förstår jag!	Kapitel_1	
Förstår du/ni	Kapitel_1	
Har ni några frågor	Kapitel_1	
Titta på sidan X i textboken/övningsboken.	Kapitel_1	
Läs texten på sidan X.	Kapitel_1	
Stäng boken.	Kapitel_1	
Säg efter mig.	Kapitel_1	
Arbeta i par.	Kapitel_1	
Prata svenska	Kapitel_1	
Du kan svenska	Kapitel_1	Sidan 08
Jag heter	Kapitel_1	Sidan 09
vad bra	Kapitel_1	Sidan 09
Vad talar du för språk	Kapitel_1	Sidan 09
vad … för	Kapitel_1	Sidan 09
lite some	Kapitel_1	Sidan 09
så klart	Kapitel_1	Sidan 09
Vad heter du	Kapitel_1	Sidan 09
Och du	Kapitel_1	Sidan 09
Vad kul	Kapitel_1	Sidan 09
ringa in	Kapitel_1	Sidan 09
sätta ett kryss make an x	Kapitel_1	Sidan 10
lycka till	Kapitel_1	Sidan 12
IT IT	Kapitel_1	Sidan 13
studera till	Kapitel_1	Sidan 13
kryssa(-r, -de, -t)för	Kapitel_1	Sidan 14
rätt alternativ	Kapitel_1	Sidan 14
bo ihop	Kapitel_1	Sidan 14
Hur mår du	Kapitel_2	Sidan 18
bara bra	Kapitel_2	Sidan 18
bra fine	Kapitel_2	Sidan 18
Jo tack.	Kapitel_2	Sidan 18
Det är bra.	Kapitel_2	Sidan 18
Hur är läget	Kapitel_2	Sidan 18
Det är lugnt.	Kapitel_2	Sidan 18
Hur är det	Kapitel_2	Sidan 18
Allt väl	Kapitel_2	Sidan 18
för mycket	Kapitel_2	Sidan 18
som vanligt	Kapitel_2	Sidan 18
så där	Kapitel_2	Sidan 18
Hur står det till	Kapitel_2	Sidan 18
ganska fairly	Kapitel_2	Sidan 18
